Cantidad de clientes TW - Time Weigthed Histogram
procesed = 28789.8
mean = 4.1243	variance = 8.44192	sd = 2.9055
minX = 0	maxX = 15
minY = 236.559	maxY = 5054.86

       0 **************                                                1220.27
     0.3                                                                     0
     0.6                                                                     0
     0.9 ***********************************                           3056.02
     1.2                                                                     0
     1.5                                                                     0
     1.8 ***********************************************************   5054.86
     2.1                                                                     0
     2.4                                                                     0
     2.7                                                                     0
       3 ********************************************************      4846.26
     3.3                                                                     0
     3.6                                                                     0
     3.9 ******************************************************        4628.97
     4.2                                                                     0
     4.5                                                                     0
     4.8 *************************************                         3205.29
     5.1                                                                     0
     5.4                                                                     0
     5.7                                                                     0
       6 ***********************                                       2044.36
     6.3                                                                     0
     6.6                                                                     0
     6.9 ***************                                               1367.01
     7.2                                                                     0
     7.5                                                                     0
     7.8 **********                                                    901.297
     8.1                                                                     0
     8.4                                                                     0
     8.7                                                                     0
       9 *******                                                       600.003
     9.3                                                                     0
     9.6                                                                     0
     9.9 *****                                                         434.251
    10.2                                                                     0
    10.5                                                                     0
    10.8 *****                                                         502.038
    11.1                                                                     0
    11.4                                                                     0
    11.7                                                                     0
      12 ***                                                           330.783
    12.3                                                                     0
    12.6                                                                     0
    12.9 ***                                                           263.988
    13.2                                                                     0
    13.5                                                                     0
    13.8 **                                                            236.559
    14.1                                                                     0
    14.4                                                                     0
    14.7 *                                                              97.804
